Segment,Locality,PinCode,Min_Price_per_Sq_Ft,Max_Price_per_Sq_Ft
Premium & IT Corridors,"Kokapet, Neopolis & Narsingi","500075, 500089",10000,14500
Premium & IT Corridors,Gachibowli & Hitec City,"500032, 500081",10500,13500
Premium & IT Corridors,Banjara Hills & Jubilee Hills,500034,14000,16000
Premium & IT Corridors,Kondapur & Madhapur,"500084, 500081",10000,13500
Mid-Range,Miyapur,500049,5500,8500
Mid-Range,Kukatpally,500072,6500,9500
Mid-Range,Manikonda,500089,8000,11500
Mid-Range,Bachupally,500090,6000,8500
Affordable & Developing,Uppal / Pocharam,500039,5000,7500
Affordable & Developing,Kompally,500014,4500,6500
Affordable & Developing,Adibatla,501510,3500,5000
Affordable & Developing,Bandlaguda Jagir,500086,6000,9500
